Angle,Average Cluster Size,Standard Deviation,Error on Average
0,2.0246975302469754,0.3284496659833751,0.003284332447316596
5,2.0185,0.24032842112409508,0.0024032842112409513
10,2.0224,0.33540757296161317,0.0033540757296161316
15,2.0218,0.25243763586280155,0.0025243763586280154
20,2.0241,0.26705652959626625,0.0026705652959626625
25,2.0245,0.2397910548790339,0.002397910548790339
30,2.0522,0.3832429516638233,0.0038324295166382327
35,2.3609,2.018824209781525,0.020188242097815248
40,3.7525,0.6498028547182612,0.006498028547182611
45,4.025597440255974,1.1368445205845217,0.011367876826213043
50,4.024,0.360033331790266,0.0036003333179026598
55,4.186881311868813,0.805299343169053,0.008052590812215156
60,6.0089,0.42121347319382657,0.004212134731938265
